Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,SoTA,GA,Saves,Saves%,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Hatano, Go",13,JPN,FC Tokyo,2020,9,Cerezo Osaka,FC Tokyo,90,6,0,6,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,10,FC Tokyo,Nagoya Grampus,90,3,0,3,1.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,11,Sanfrecce Hiroshima,FC Tokyo,90,5,3,2,.400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,20,Shonan Bellmare,FC Tokyo,90,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,25,Kawasaki Frontale,FC Tokyo,90,9,2,8,.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,27,Nagoya Grampus,FC Tokyo,90,2,1,2,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,30,FC Tokyo,Kashiwa Reysol,90,4,3,1,.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,31,FC Tokyo,Sanfrecce Hiroshima,90,4,0,4,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,33,FC Tokyo,Hokkaido Consadole Sapporo,90,2,0,2,1.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hatano, Go",13,JPN,FC Tokyo,2020,34,FC Tokyo,Vissel Kobe,90,4,0,4,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
