Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,SoTA,GA,Saves,Saves%,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,1,Kashiwa Reysol,Hokkaido Consadole Sapporo,80,7,2,5,.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,2,Kashiwa Reysol,FC Tokyo,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,3,Kashiwa Reysol,Yokohama FC,90,3,3,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,4,Kawasaki Frontale,Kashiwa Reysol,90,6,3,3,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,15,Kashiwa Reysol,Gamba Osaka,90,7,0,7,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,16,Sagan Tosu,Kashiwa Reysol,90,3,2,2,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,17,Kashiwa Reysol,Sanfrecce Hiroshima,90,3,1,2,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,18,Hokkaido Consadole Sapporo,Kashiwa Reysol,90,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,19,Kashiwa Reysol,Yokohama F. Marinos,90,3,3,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,20,Yokohama FC,Kashiwa Reysol,90,3,0,3,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,21,Kashiwa Reysol,Vissel Kobe,90,7,3,5,.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,22,Kashiwa Reysol,Urawa Red Diamonds,90,8,1,7,.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,23,Shonan Bellmare,Kashiwa Reysol,90,5,3,2,.400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,24,Gamba Osaka,Kashiwa Reysol,90,7,2,5,.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,25,Kashiwa Reysol,Shimizu S-Pulse,90,5,0,5,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,26,Vegalta Sendai,Kashiwa Reysol,90,1,0,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,27,Kashiwa Reysol,Oita Trinita,90,3,1,2,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,28,Kashiwa Reysol,Sagan Tosu,90,5,2,3,.600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,29,Kashima Antlers,Kashiwa Reysol,90,5,1,4,.800,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,30,FC Tokyo,Kashiwa Reysol,90,7,1,6,.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,31,Kashiwa Reysol,Nagoya Grampus,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,32,Cerezo Osaka,Kashiwa Reysol,90,5,0,5,1.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,33,Sanfrecce Hiroshima,Kashiwa Reysol,90,2,0,2,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seung-gyu, Kim",17,KOR,Kashiwa Reysol,2020,34,Kashiwa Reysol,Kawasaki Frontale,90,7,3,4,.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
