Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Haneda, Kento",49,JPN,Oita Trinita,2020,5,Gamba Osaka,Oita Trinita,52,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,10,Oita Trinita,Yokohama F. Marinos,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,11,Hokkaido Consadole Sapporo,Oita Trinita,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,12,Oita Trinita,Kashiwa Reysol,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,14,Oita Trinita,FC Tokyo,89,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,15,Oita Trinita,Shonan Bellmare,72,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,16,Vegalta Sendai,Oita Trinita,89,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,17,Oita Trinita,Yokohama FC,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,18,Oita Trinita,Sanfrecce Hiroshima,90,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,19,Kashima Antlers,Oita Trinita,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,20,Oita Trinita,Shimizu S-Pulse,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,21,Yokohama F. Marinos,Oita Trinita,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,22,Vissel Kobe,Oita Trinita,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,23,Oita Trinita,Gamba Osaka,81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,24,FC Tokyo,Oita Trinita,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,25,Oita Trinita,Urawa Red Diamonds,90,0,0,0,0,0,0,0,0,3,1,0,1,2,2,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,26,Yokohama FC,Oita Trinita,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,32,Oita Trinita,Hokkaido Consadole Sapporo,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,33,Shonan Bellmare,Oita Trinita,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Haneda, Kento",49,JPN,Oita Trinita,2020,34,Sagan Tosu,Oita Trinita,87,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
