Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,1,Vissel Kobe,Yokohama FC,74,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,2,Yokohama FC,Hokkaido Consadole Sapporo,64,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,3,Kashiwa Reysol,Yokohama FC,83,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,4,Yokohama FC,Vegalta Sendai,77,1,0,0,0,2,1,0,0,1,3,2,1,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,5,Yokohama FC,Kawasaki Frontale,83,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,6,Yokohama F. Marinos,Yokohama FC,60,0,0,0,0,2,0,0,0,0,1,3,2,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,7,Yokohama FC,Urawa Red Diamonds,67,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,8,Yokohama FC,Sanfrecce Hiroshima,45,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,10,Yokohama FC,Shonan Bellmare,79,1,2,1,1,3,2,0,0,1,2,1,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,11,Yokohama FC,Kashima Antlers,73,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,12,Shimizu S-Pulse,Yokohama FC,22,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,13,Yokohama FC,Cerezo Osaka,85,0,0,0,0,2,1,0,0,1,2,0,1,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,14,Sagan Tosu,Yokohama FC,57,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,15,FC Tokyo,Yokohama FC,15,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,17,Oita Trinita,Yokohama FC,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,18,Kawasaki Frontale,Yokohama FC,15,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,19,Urawa Red Diamonds,Yokohama FC,31,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,20,Yokohama FC,Kashiwa Reysol,34,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,21,Kashima Antlers,Yokohama FC,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,22,Vegalta Sendai,Yokohama FC,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,23,Yokohama FC,FC Tokyo,40,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,24,Hokkaido Consadole Sapporo,Yokohama FC,32,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,25,Shonan Bellmare,Yokohama FC,77,0,0,0,0,4,1,0,0,3,1,0,0,2,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,26,Yokohama FC,Oita Trinita,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,27,Sanfrecce Hiroshima,Yokohama FC,86,0,0,0,0,4,0,0,0,4,2,3,0,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,28,Yokohama FC,Vissel Kobe,86,1,0,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,29,Yokohama FC,Shimizu S-Pulse,90,0,0,0,0,2,1,0,0,1,2,1,1,1,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,30,Cerezo Osaka,Yokohama FC,64,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,31,Yokohama FC,Sagan Tosu,89,0,0,0,0,3,3,0,0,1,0,3,2,1,1,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,32,Nagoya Grampus,Yokohama FC,59,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Ichimi, Kazunari",9,JPN,Yokohama FC,2020,34,Yokohama FC,Yokohama F. Marinos,63,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0
