Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Jae-suk, Oh",22,KOR,Gamba Osaka,2020,1,Yokohama F. Marinos,Gamba Osaka,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,7,Sanfrecce Hiroshima,Nagoya Grampus,22,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,11,Shonan Bellmare,Nagoya Grampus,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,12,Nagoya Grampus,Kawasaki Frontale,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,13,Hokkaido Consadole Sapporo,Nagoya Grampus,90,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,15,Nagoya Grampus,Yokohama F. Marinos,89,0,0,0,0,1,0,0,0,2,4,0,0,3,2,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,16,Yokohama FC,Nagoya Grampus,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,17,Nagoya Grampus,Vissel Kobe,90,0,0,0,0,1,0,0,0,2,0,0,2,3,3,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,18,Gamba Osaka,Nagoya Grampus,90,0,0,0,0,0,0,1,0,3,1,0,2,2,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,20,Urawa Red Diamonds,Nagoya Grampus,90,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,21,Nagoya Grampus,Cerezo Osaka,90,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,22,Nagoya Grampus,Hokkaido Consadole Sapporo,90,0,0,0,0,0,0,0,0,1,2,0,1,2,1,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,23,Kawasaki Frontale,Nagoya Grampus,81,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,24,Nagoya Grampus,Vegalta Sendai,90,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,25,Kashima Antlers,Nagoya Grampus,32,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,27,Nagoya Grampus,FC Tokyo,90,0,0,0,0,0,0,0,0,3,2,0,1,2,2,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,28,Nagoya Grampus,Shonan Bellmare,90,0,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,29,Vissel Kobe,Nagoya Grampus,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,30,Nagoya Grampus,Oita Trinita,90,0,0,0,0,1,0,0,0,1,1,0,1,3,1,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,31,Kashiwa Reysol,Nagoya Grampus,90,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,32,Nagoya Grampus,Yokohama FC,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,33,Yokohama F. Marinos,Nagoya Grampus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jae-suk, Oh",34,KOR,Grampus,2020,34,Nagoya Grampus,Sanfrecce Hiroshima,90,0,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0
