Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,1,Sanfrecce Hiroshima,Kashima Antlers,65,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,2,Vissel Kobe,Sanfrecce Hiroshima,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,8,Yokohama FC,Sanfrecce Hiroshima,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,9,Sanfrecce Hiroshima,Shonan Bellmare,69,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,10,Urawa Red Diamonds,Sanfrecce Hiroshima,64,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,11,Sanfrecce Hiroshima,FC Tokyo,90,0,0,0,0,0,0,1,0,3,0,1,5,2,0,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,12,Yokohama F. Marinos,Sanfrecce Hiroshima,71,0,0,0,0,1,0,1,0,1,0,2,1,1,2,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,13,Sanfrecce Hiroshima,Vegalta Sendai,62,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,14,Hokkaido Consadole Sapporo,Sanfrecce Hiroshima,79,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Kashiwa, Yoshifumi",18,JPN,Sanfrecce,2020,15,Sanfrecce Hiroshima,Shimizu S-Pulse,24,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0
