Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Maeda, Naoki",25,JPN,Grampus,2020,1,Vegalta Sendai,Nagoya Grampus,72,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,2,Shimizu S-Pulse,Nagoya Grampus,89,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,3,Nagoya Grampus,Gamba Osaka,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,5,Nagoya Grampus,Sagan Tosu,34,1,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,6,Oita Trinita,Nagoya Grampus,90,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,8,Nagoya Grampus,Kashiwa Reysol,66,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,9,Nagoya Grampus,Urawa Red Diamonds,52,4,0,0,0,5,5,0,0,0,2,0,0,1,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,10,FC Tokyo,Nagoya Grampus,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,11,Shonan Bellmare,Nagoya Grampus,36,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,12,Nagoya Grampus,Kawasaki Frontale,78,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,13,Hokkaido Consadole Sapporo,Nagoya Grampus,81,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"Maeda, Naoki",25,JPN,Grampus,2020,14,Nagoya Grampus,Kashima Antlers,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
