Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Nagai, Ryo",20,JPN,Sanfrecce,2020,4,Sagan Tosu,Sanfrecce Hiroshima,14,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,5,Sanfrecce Hiroshima,Cerezo Osaka,45,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,6,Gamba Osaka,Sanfrecce Hiroshima,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,7,Sanfrecce Hiroshima,Nagoya Grampus,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,8,Yokohama FC,Sanfrecce Hiroshima,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,18,Oita Trinita,Sanfrecce Hiroshima,62,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,20,Sanfrecce Hiroshima,Sagan Tosu,79,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,21,Shimizu S-Pulse,Sanfrecce Hiroshima,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,25,Vegalta Sendai,Sanfrecce Hiroshima,35,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,26,Sanfrecce Hiroshima,Urawa Red Diamonds,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,27,Sanfrecce Hiroshima,Yokohama FC,56,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,28,Cerezo Osaka,Sanfrecce Hiroshima,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,29,Shonan Bellmare,Sanfrecce Hiroshima,45,0,0,0,0,2,1,0,0,1,2,1,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,30,Sanfrecce Hiroshima,Hokkaido Consadole Sapporo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nagai, Ryo",20,JPN,Sanfrecce,2020,32,Sanfrecce Hiroshima,Yokohama F. Marinos,19,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0
