Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,2,Shonan Bellmare,Vegalta Sendai,58,0,0,0,0,3,0,1,0,1,0,2,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,3,Vegalta Sendai,Urawa Red Diamonds,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,4,Yokohama FC,Vegalta Sendai,78,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,5,Vegalta Sendai,Hokkaido Consadole Sapporo,56,0,0,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,6,Vegalta Sendai,Kawasaki Frontale,61,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,7,Kashiwa Reysol,Vegalta Sendai,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,8,Vegalta Sendai,Yokohama F. Marinos,90,0,0,0,0,2,1,0,0,1,1,1,1,1,1,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,9,Vissel Kobe,Vegalta Sendai,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,10,Vegalta Sendai,Shimizu S-Pulse,69,0,0,0,0,2,1,0,0,1,2,1,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,11,Vegalta Sendai,Sagan Tosu,90,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,12,Cerezo Osaka,Vegalta Sendai,68,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,13,Sanfrecce Hiroshima,Vegalta Sendai,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,14,Vegalta Sendai,Gamba Osaka,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,15,Kashima Antlers,Vegalta Sendai,38,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,16,Vegalta Sendai,Oita Trinita,90,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,17,FC Tokyo,Vegalta Sendai,90,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,18,Yokohama F. Marinos,Vegalta Sendai,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,19,Vegalta Sendai,Cerezo Osaka,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,20,Hokkaido Consadole Sapporo,Vegalta Sendai,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,21,Kawasaki Frontale,Vegalta Sendai,20,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,22,Vegalta Sendai,Yokohama FC,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,23,Urawa Red Diamonds,Vegalta Sendai,32,0,0,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,24,Nagoya Grampus,Vegalta Sendai,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,25,Vegalta Sendai,Sanfrecce Hiroshima,90,0,0,0,0,3,1,0,0,3,2,0,0,1,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,26,Vegalta Sendai,Kashiwa Reysol,90,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0
"Nagasawa, Shun",20,JPN,Vegalta Sendai,2020,27,Gamba Osaka,Vegalta Sendai,90,3,0,0,0,3,3,0,0,3,3,1,0,0,3,0,0,0
