Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Oumari, Joan",32,LIB,FC Tokyo,2020,4,Yokohama F. Marinos,FC Tokyo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,6,Hokkaido Consadole Sapporo,FC Tokyo,90,0,0,0,0,0,0,1,0,2,1,0,0,0,5,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,11,Sanfrecce Hiroshima,FC Tokyo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,13,Gamba Osaka,FC Tokyo,90,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,19,Sagan Tosu,FC Tokyo,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,20,Shonan Bellmare,FC Tokyo,90,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,21,FC Tokyo,Gamba Osaka,90,0,0,0,0,2,1,0,0,0,2,0,0,1,3,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,22,FC Tokyo,Shimizu S-Pulse,90,0,0,0,0,1,0,0,0,2,3,0,0,2,1,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,23,Yokohama FC,FC Tokyo,45,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,26,FC Tokyo,Kashima Antlers,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,32,Vegalta Sendai,FC Tokyo,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
"Oumari, Joan",32,LIB,FC Tokyo,2020,34,FC Tokyo,Vissel Kobe,90,1,0,0,0,4,1,0,0,0,0,0,0,0,6,0,0,0
