Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,2,Kawasaki Frontale,Kashima Antlers,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,3,FC Tokyo,Kawasaki Frontale,22,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,4,Kawasaki Frontale,Kashiwa Reysol,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,9,Kawasaki Frontale,Oita Trinita,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,10,Hokkaido Consadole Sapporo,Kawasaki Frontale,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,13,Kawasaki Frontale,Shimizu S-Pulse,68,0,0,0,0,7,4,0,0,1,0,0,1,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,14,Yokohama F. Marinos,Kawasaki Frontale,18,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,15,Kawasaki Frontale,Vissel Kobe,65,0,0,0,0,3,0,0,0,2,1,1,5,0,1,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,16,Kawasaki Frontale,Sanfrecce Hiroshima,70,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,17,Urawa Red Diamonds,Kawasaki Frontale,88,0,1,0,0,3,1,0,0,1,4,0,1,3,2,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,18,Kawasaki Frontale,Yokohama FC,76,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,19,Shonan Bellmare,Kawasaki Frontale,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,20,Cerezo Osaka,Kawasaki Frontale,62,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,21,Kawasaki Frontale,Vegalta Sendai,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,22,Sanfrecce Hiroshima,Kawasaki Frontale,54,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,23,Kawasaki Frontale,Nagoya Grampus,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,25,Kawasaki Frontale,FC Tokyo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,26,Kawasaki Frontale,Hokkaido Consadole Sapporo,69,0,0,0,0,1,1,0,0,2,3,1,0,1,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,27,Kashima Antlers,Kawasaki Frontale,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,28,Oita Trinita,Kawasaki Frontale,75,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,29,Kawasaki Frontale,Gamba Osaka,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,30,Kawasaki Frontale,Yokohama F. Marinos,64,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,31,Shimizu S-Pulse,Kawasaki Frontale,14,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,32,Sagan Tosu,Kawasaki Frontale,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Saitō, Manabu",19,JPN,Kawa Frontale,2020,34,Kashiwa Reysol,Kawasaki Frontale,45,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
