Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,1,Vissel Kobe,Yokohama FC,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,2,Yokohama FC,Hokkaido Consadole Sapporo,73,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,3,Kashiwa Reysol,Yokohama FC,90,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,4,Yokohama FC,Vegalta Sendai,90,0,0,0,0,0,0,0,0,2,3,0,1,1,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,5,Yokohama FC,Kawasaki Frontale,83,0,0,0,0,0,0,0,0,1,2,0,1,2,3,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,6,Yokohama F. Marinos,Yokohama FC,34,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,8,Yokohama FC,Sanfrecce Hiroshima,45,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,9,Gamba Osaka,Yokohama FC,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,10,Yokohama FC,Shonan Bellmare,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,11,Yokohama FC,Kashima Antlers,90,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,12,Shimizu S-Pulse,Yokohama FC,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,13,Yokohama FC,Cerezo Osaka,32,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,14,Sagan Tosu,Yokohama FC,90,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0
"Seko, Tatsuki",6,JPN,Yokohama FC,2020,15,FC Tokyo,Yokohama FC,89,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0
