Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Shoji, Gen",3,JPN,Gamba Osaka,2020,9,Gamba Osaka,Yokohama FC,90,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,11,Gamba Osaka,Urawa Red Diamonds,90,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,12,Kashima Antlers,Gamba Osaka,90,0,0,0,0,1,0,0,0,2,0,0,0,1,5,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,13,Gamba Osaka,FC Tokyo,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,14,Vegalta Sendai,Gamba Osaka,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,15,Kashiwa Reysol,Gamba Osaka,57,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,16,Gamba Osaka,Shonan Bellmare,90,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,17,Hokkaido Consadole Sapporo,Gamba Osaka,17,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,18,Gamba Osaka,Nagoya Grampus,90,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,19,Sanfrecce Hiroshima,Gamba Osaka,90,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,20,Gamba Osaka,Kashima Antlers,90,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,21,FC Tokyo,Gamba Osaka,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,22,Gamba Osaka,Yokohama F. Marinos,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,27,Gamba Osaka,Vegalta Sendai,90,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,28,Urawa Red Diamonds,Gamba Osaka,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,29,Kawasaki Frontale,Gamba Osaka,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,31,Shonan Bellmare,Gamba Osaka,90,0,0,0,0,1,1,1,0,3,1,0,0,3,1,0,0,0
"Shoji, Gen",3,JPN,Gamba Osaka,2020,33,Yokohama FC,Gamba Osaka,90,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0
