Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,1,Kawasaki Frontale,Sagan Tosu,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,3,Sagan Tosu,Vissel Kobe,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,5,Nagoya Grampus,Sagan Tosu,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,7,Sagan Tosu,Cerezo Osaka,90,0,0,0,0,1,0,0,0,2,0,0,2,1,2,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,8,FC Tokyo,Sagan Tosu,90,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,9,Kashima Antlers,Sagan Tosu,89,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,12,Sagan Tosu,Hokkaido Consadole Sapporo,66,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,18,Vissel Kobe,Sagan Tosu,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,19,Sagan Tosu,FC Tokyo,49,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,30,Gamba Osaka,Sagan Tosu,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,31,Yokohama FC,Sagan Tosu,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,32,Sagan Tosu,Kawasaki Frontale,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Takahashi, Hideto",36,JPN,Sagan Tosu,2020,33,Cerezo Osaka,Sagan Tosu,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
