Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,1,Kashiwa Reysol,Hokkaido Consadole Sapporo,90,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,2,Kashiwa Reysol,FC Tokyo,90,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,3,Kashiwa Reysol,Yokohama FC,61,0,0,0,0,0,0,0,0,1,3,0,2,0,3,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,9,Yokohama F. Marinos,Kashiwa Reysol,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,10,Kashiwa Reysol,Cerezo Osaka,82,0,0,0,0,1,0,1,0,2,1,0,5,0,3,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,11,Vissel Kobe,Kashiwa Reysol,64,0,0,0,0,0,0,0,0,1,2,0,0,2,5,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,12,Oita Trinita,Kashiwa Reysol,76,0,0,0,0,1,0,0,0,2,1,0,2,0,4,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,13,Kashiwa Reysol,Kashima Antlers,44,0,0,0,0,0,0,2,1,3,1,0,1,2,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,15,Kashiwa Reysol,Gamba Osaka,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,16,Sagan Tosu,Kashiwa Reysol,45,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,18,Hokkaido Consadole Sapporo,Kashiwa Reysol,18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,19,Kashiwa Reysol,Yokohama F. Marinos,15,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,21,Kashiwa Reysol,Vissel Kobe,24,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,26,Vegalta Sendai,Kashiwa Reysol,13,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,27,Kashiwa Reysol,Oita Trinita,90,0,0,0,0,0,0,0,0,4,1,0,3,0,1,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,29,Kashima Antlers,Kashiwa Reysol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,31,Kashiwa Reysol,Nagoya Grampus,26,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,32,Cerezo Osaka,Kashiwa Reysol,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,33,Sanfrecce Hiroshima,Kashiwa Reysol,90,0,0,0,0,0,0,0,0,2,1,0,1,6,6,0,0,0
"Takahashi, Shunki",6,JPN,Kashiwa Reysol,2020,34,Kashiwa Reysol,Kawasaki Frontale,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
