Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Takao, Ryu",27,JPN,Gamba Osaka,2020,3,Nagoya Grampus,Gamba Osaka,90,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,4,Shimizu S-Pulse,Gamba Osaka,90,0,0,0,0,0,0,0,0,2,1,0,3,2,1,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,5,Gamba Osaka,Oita Trinita,90,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,6,Gamba Osaka,Sanfrecce Hiroshima,90,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,7,Vissel Kobe,Gamba Osaka,74,0,1,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,8,Gamba Osaka,Kawasaki Frontale,90,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,9,Gamba Osaka,Yokohama FC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,10,Sagan Tosu,Gamba Osaka,90,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,11,Gamba Osaka,Urawa Red Diamonds,90,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,12,Kashima Antlers,Gamba Osaka,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,13,Gamba Osaka,FC Tokyo,67,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,14,Vegalta Sendai,Gamba Osaka,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takao, Ryu",27,JPN,Gamba Osaka,2020,15,Kashiwa Reysol,Gamba Osaka,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
