Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,1,Kawasaki Frontale,Sagan Tosu,90,0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,2,Kawasaki Frontale,Kashima Antlers,90,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,3,FC Tokyo,Kawasaki Frontale,90,0,0,0,0,2,1,1,0,3,0,0,1,1,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,5,Yokohama FC,Kawasaki Frontale,90,0,0,0,0,2,1,0,0,2,2,0,0,1,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,6,Vegalta Sendai,Kawasaki Frontale,90,0,0,0,0,2,0,0,0,1,1,0,3,5,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,7,Kawasaki Frontale,Shonan Bellmare,6,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,8,Gamba Osaka,Kawasaki Frontale,90,0,0,0,0,2,1,0,0,1,1,0,0,5,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,9,Kawasaki Frontale,Oita Trinita,90,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,10,Hokkaido Consadole Sapporo,Kawasaki Frontale,45,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,11,Kawasaki Frontale,Cerezo Osaka,90,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,12,Nagoya Grampus,Kawasaki Frontale,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,14,Yokohama F. Marinos,Kawasaki Frontale,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,16,Kawasaki Frontale,Sanfrecce Hiroshima,88,2,0,0,0,2,2,0,0,1,2,0,0,2,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,17,Urawa Red Diamonds,Kawasaki Frontale,46,0,0,0,0,2,0,0,0,1,3,0,3,2,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,18,Kawasaki Frontale,Yokohama FC,83,1,0,0,0,4,2,0,0,2,3,0,5,1,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,19,Shonan Bellmare,Kawasaki Frontale,90,0,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,20,Cerezo Osaka,Kawasaki Frontale,73,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,21,Kawasaki Frontale,Vegalta Sendai,90,0,0,0,0,2,0,0,0,1,1,0,1,2,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,22,Sanfrecce Hiroshima,Kawasaki Frontale,90,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,23,Kawasaki Frontale,Nagoya Grampus,90,0,0,0,0,4,0,0,0,1,0,0,0,1,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,24,Vissel Kobe,Kawasaki Frontale,66,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,25,Kawasaki Frontale,FC Tokyo,90,0,0,0,0,2,0,0,0,1,1,0,4,5,4,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,26,Kawasaki Frontale,Hokkaido Consadole Sapporo,45,0,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,27,Kashima Antlers,Kawasaki Frontale,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
"Tanaka, Ao",25,JPN,Kawa Frontale,2020,28,Oita Trinita,Kawasaki Frontale,45,0,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,0
