Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,1,Vissel Kobe,Yokohama FC,90,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,5,Yokohama FC,Kawasaki Frontale,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,6,Yokohama F. Marinos,Yokohama FC,90,0,0,0,0,2,0,0,0,0,1,0,9,3,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,7,Yokohama FC,Urawa Red Diamonds,82,0,0,0,0,1,0,0,0,2,0,0,9,0,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,8,Yokohama FC,Sanfrecce Hiroshima,90,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,9,Gamba Osaka,Yokohama FC,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,10,Yokohama FC,Shonan Bellmare,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,11,Yokohama FC,Kashima Antlers,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,12,Shimizu S-Pulse,Yokohama FC,90,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,13,Yokohama FC,Cerezo Osaka,90,0,0,0,0,1,0,0,0,0,1,0,10,2,2,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,14,Sagan Tosu,Yokohama FC,76,0,0,0,0,1,0,1,0,3,1,0,6,0,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,15,FC Tokyo,Yokohama FC,90,0,0,0,0,2,0,0,0,1,1,0,3,1,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,16,Yokohama FC,Nagoya Grampus,65,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,18,Kawasaki Frontale,Yokohama FC,31,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,19,Urawa Red Diamonds,Yokohama FC,90,0,1,0,0,1,0,1,0,1,2,0,2,0,2,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,21,Kashima Antlers,Yokohama FC,68,0,1,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,22,Vegalta Sendai,Yokohama FC,85,0,0,0,0,1,0,0,0,1,2,0,6,2,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,23,Yokohama FC,FC Tokyo,90,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,24,Hokkaido Consadole Sapporo,Yokohama FC,79,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,25,Shonan Bellmare,Yokohama FC,90,0,0,0,0,1,0,0,0,0,0,0,6,3,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,26,Yokohama FC,Oita Trinita,90,0,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,27,Sanfrecce Hiroshima,Yokohama FC,90,0,1,0,0,0,0,1,0,1,1,0,7,1,5,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,28,Yokohama FC,Vissel Kobe,90,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,30,Cerezo Osaka,Yokohama FC,90,0,0,0,0,1,0,0,0,1,0,0,3,1,5,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,31,Yokohama FC,Sagan Tosu,90,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,32,Nagoya Grampus,Yokohama FC,90,0,0,0,0,0,0,1,0,2,1,0,5,3,1,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,33,Yokohama FC,Gamba Osaka,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Tezuka, Kohei",30,JPN,Yokohama FC,2020,34,Yokohama FC,Yokohama F. Marinos,90,0,1,0,0,1,1,0,0,0,4,0,9,1,2,0,0,0
