Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,2,Oita Trinita,Sagan Tosu,14,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,3,Sagan Tosu,Vissel Kobe,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,4,Sagan Tosu,Sanfrecce Hiroshima,77,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,5,Nagoya Grampus,Sagan Tosu,70,0,0,0,0,1,0,1,0,5,1,0,0,0,1,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,6,Sagan Tosu,Shimizu S-Pulse,22,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,7,Sagan Tosu,Cerezo Osaka,85,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,8,FC Tokyo,Sagan Tosu,31,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,9,Kashima Antlers,Sagan Tosu,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,11,Vegalta Sendai,Sagan Tosu,78,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,12,Sagan Tosu,Hokkaido Consadole Sapporo,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,15,Urawa Red Diamonds,Sagan Tosu,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,16,Sagan Tosu,Kashiwa Reysol,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,18,Vissel Kobe,Sagan Tosu,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,20,Sanfrecce Hiroshima,Sagan Tosu,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,24,Sagan Tosu,Shonan Bellmare,21,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,26,Sagan Tosu,Nagoya Grampus,56,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,27,Hokkaido Consadole Sapporo,Sagan Tosu,23,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,28,Kashiwa Reysol,Sagan Tosu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,29,Sagan Tosu,Vegalta Sendai,9,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"Toyoda, Yohei",11,JPN,Sagan Tosu,2020,30,Gamba Osaka,Sagan Tosu,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
