Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,1,Cerezo Osaka,Oita Trinita,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,2,Gamba Osaka,Cerezo Osaka,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,3,Cerezo Osaka,Shimizu S-Pulse,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,4,Cerezo Osaka,Nagoya Grampus,45,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,5,Sanfrecce Hiroshima,Cerezo Osaka,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,6,Cerezo Osaka,Vissel Kobe,45,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,7,Sagan Tosu,Cerezo Osaka,72,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,8,Shonan Bellmare,Cerezo Osaka,31,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,19,Vegalta Sendai,Cerezo Osaka,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,22,Cerezo Osaka,Shonan Bellmare,28,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,23,Cerezo Osaka,Yokohama F. Marinos,25,2,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,24,Urawa Red Diamonds,Cerezo Osaka,72,1,0,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,26,Cerezo Osaka,Gamba Osaka,62,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,27,Shimizu S-Pulse,Cerezo Osaka,57,0,0,0,0,1,0,0,0,1,4,1,0,2,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,28,Cerezo Osaka,Sanfrecce Hiroshima,57,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,29,Oita Trinita,Cerezo Osaka,10,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,30,Cerezo Osaka,Yokohama FC,39,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,31,Hokkaido Consadole Sapporo,Cerezo Osaka,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,32,Cerezo Osaka,Kashiwa Reysol,31,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,33,Cerezo Osaka,Sagan Tosu,48,1,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,0
"Toyokawa, Yuta",32,JPN,Cerezo Osaka,2020,34,Kashima Antlers,Cerezo Osaka,59,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0
