Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,1,Vegalta Sendai,Nagoya Grampus,90,0,0,0,0,0,0,0,0,3,2,0,1,4,4,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,3,Vegalta Sendai,Urawa Red Diamonds,80,0,0,0,0,2,1,0,0,1,0,0,4,0,1,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,5,Vegalta Sendai,Hokkaido Consadole Sapporo,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,6,Vegalta Sendai,Kawasaki Frontale,90,0,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,7,Kashiwa Reysol,Vegalta Sendai,90,0,0,0,0,1,1,0,0,1,3,0,5,0,0,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,8,Vegalta Sendai,Yokohama F. Marinos,90,0,0,0,0,0,0,0,0,2,1,0,3,5,2,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,9,Vissel Kobe,Vegalta Sendai,82,0,0,0,0,0,0,0,0,1,1,0,1,2,3,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,10,Vegalta Sendai,Shimizu S-Pulse,90,0,0,0,0,0,0,1,0,3,0,0,3,2,1,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,12,Cerezo Osaka,Vegalta Sendai,89,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,13,Sanfrecce Hiroshima,Vegalta Sendai,90,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,14,Vegalta Sendai,Gamba Osaka,65,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,0,0
"Yanagi, Takahiro",36,JPN,Vegalta Sendai,2020,15,Kashima Antlers,Vegalta Sendai,90,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
